Date,Department,Client,Engagement,Manager,Invoiced,Received,DueDate,NextBillingDate,Status
2025-01-26,Accounting,AgriHarvest Co.,ENG-1001,K. Reyes,455268.28,455268.28,2025-02-25,,Paid
2026-03-09,Accounting,Sakura Foods Inc.,ENG-1002,K. Reyes,57798.3,57798.3,2026-04-08,,Paid
2026-03-06,Tax,Nippon Steel PH,ENG-1003,J. Santos,163446.75,115183.41,2026-03-21,,Partial
2025-10-12,Audit,Manila Logistics Corp.,ENG-1004,M. Yamada,0.0,0.0,2025-11-26,2026-07-04,Draft
2025-09-28,Audit,TechBridge Solutions,ENG-1005,A. Tanaka,491991.83,0.0,2025-10-13,,Unpaid
2025-10-28,Payroll,Sakura Foods Inc.,ENG-1006,R. Cruz,504466.61,368691.16,2025-11-27,,Partial
2025-03-23,Audit,Pacific Garments,ENG-1007,R. Cruz,518977.92,0.0,2025-05-22,2026-07-20,Unpaid
2025-12-30,Audit,Nippon Steel PH,ENG-1008,K. Reyes,157323.94,157323.94,2026-01-14,,Paid
2025-06-17,Tax,Sakura Foods Inc.,ENG-1009,R. Cruz,298865.72,298865.72,2025-07-17,,Paid
2025-11-20,Accounting,TechBridge Solutions,ENG-1010,J. Santos,264652.28,264652.28,2026-01-04,2026-07-11,Paid
2025-09-29,Tax,TechBridge Solutions,ENG-1011,K. Reyes,118192.98,0.0,2025-11-13,,Unpaid
2026-01-06,Advisory,Manila Logistics Corp.,ENG-1012,R. Cruz,0.0,0.0,2026-03-07,2026-06-13,Draft
2026-03-09,Tax,Cebu Resorts Group,ENG-1013,A. Tanaka,373989.06,373989.06,2026-05-08,,Paid
2025-10-01,Accounting,Yamato Trading,ENG-1014,A. Tanaka,470415.29,470415.29,2025-11-15,,Paid
2026-05-28,Audit,GreenField Realty,ENG-1015,K. Reyes,466698.83,466698.83,2026-06-12,,Paid
2025-07-23,Payroll,Yamato Trading,ENG-1016,A. Tanaka,125589.99,0.0,2025-08-07,,Unpaid
2026-01-07,Accounting,Metro Pharma,ENG-1017,A. Tanaka,532084.25,0.0,2026-02-21,2026-06-25,Unpaid
2026-05-13,Accounting,Cebu Resorts Group,ENG-1018,R. Cruz,0.0,0.0,2026-06-12,2026-07-10,Draft
2026-06-25,Audit,Sunrise Motors,ENG-1019,R. Cruz,528562.5,528562.5,2026-07-25,,Paid
2026-02-13,Audit,Manila Logistics Corp.,ENG-1020,M. Yamada,597283.64,310020.1,2026-04-14,2026-06-24,Partial
2025-08-24,Accounting,Sakura Foods Inc.,ENG-1021,M. Yamada,369526.46,369526.46,2025-09-08,2026-08-06,Paid
2026-06-11,Accounting,Metro Pharma,ENG-1022,K. Reyes,173282.6,70546.54,2026-07-11,,Partial
2025-09-06,Advisory,TechBridge Solutions,ENG-1023,M. Yamada,479386.88,0.0,2025-10-06,2026-07-22,Unpaid
2026-02-25,Advisory,Pacific Garments,ENG-1024,A. Tanaka,301533.81,0.0,2026-03-12,2026-07-26,Unpaid
2025-07-16,Tax,BPO Global,ENG-1025,A. Tanaka,146516.99,146516.99,2025-09-14,2026-07-09,Paid
2025-04-11,Advisory,BPO Global,ENG-1026,R. Cruz,0.0,0.0,2025-04-26,,Draft
2026-05-13,Advisory,TechBridge Solutions,ENG-1027,M. Yamada,309560.71,0.0,2026-05-28,2026-06-10,Unpaid
2025-10-20,Advisory,BPO Global,ENG-1028,A. Tanaka,0.0,0.0,2025-12-19,2026-06-28,Draft
2025-03-04,Payroll,Cebu Resorts Group,ENG-1029,R. Cruz,458866.31,458866.31,2025-05-03,,Paid
2026-06-05,Accounting,BPO Global,ENG-1030,J. Santos,84862.42,84862.42,2026-06-20,,Paid
2025-09-10,Accounting,Metro Pharma,ENG-1031,K. Reyes,364194.67,364194.67,2025-09-25,,Paid
2025-11-20,Payroll,Nippon Steel PH,ENG-1032,M. Yamada,563435.5,563435.5,2026-01-04,2026-07-05,Paid
2025-11-20,Advisory,Metro Pharma,ENG-1033,A. Tanaka,0.0,0.0,2025-12-05,,Draft
2025-08-07,Accounting,BPO Global,ENG-1034,M. Yamada,323295.43,323295.43,2025-09-21,,Paid
2025-06-11,Audit,AgriHarvest Co.,ENG-1035,K. Reyes,285383.36,285383.36,2025-07-26,,Paid
2025-11-03,Accounting,Manila Logistics Corp.,ENG-1036,K. Reyes,561783.38,561783.38,2025-12-03,2026-08-05,Paid
2025-10-06,Tax,GreenField Realty,ENG-1037,K. Reyes,197783.51,197783.51,2025-11-20,2026-07-20,Paid
2025-09-15,Advisory,GreenField Realty,ENG-1038,A. Tanaka,546988.44,0.0,2025-09-30,,Unpaid
2025-12-08,Accounting,TechBridge Solutions,ENG-1039,K. Reyes,471826.76,203346.78,2026-02-06,,Partial
2025-04-25,Accounting,Pacific Garments,ENG-1040,K. Reyes,82136.56,0.0,2025-05-25,,Unpaid
2025-06-01,Payroll,Sakura Foods Inc.,ENG-1041,M. Yamada,280680.56,280680.56,2025-07-16,,Paid
2025-09-13,Tax,Sunrise Motors,ENG-1042,R. Cruz,413482.71,413482.71,2025-11-12,,Paid
2025-06-16,Tax,Pacific Garments,ENG-1043,J. Santos,586675.38,0.0,2025-08-15,2026-07-27,Unpaid
2025-10-01,Tax,Yamato Trading,ENG-1044,R. Cruz,129150.79,0.0,2025-11-30,,Unpaid
2026-04-17,Tax,BPO Global,ENG-1045,J. Santos,235808.72,0.0,2026-05-17,2026-07-22,Unpaid
2025-10-13,Audit,TechBridge Solutions,ENG-1046,K. Reyes,0.0,0.0,2025-11-27,2026-07-12,Draft
2025-01-29,Audit,GreenField Realty,ENG-1047,A. Tanaka,0.0,0.0,2025-02-28,,Draft
2026-03-21,Accounting,Cebu Resorts Group,ENG-1048,A. Tanaka,233584.78,0.0,2026-05-20,,Unpaid
2025-07-14,Advisory,Cebu Resorts Group,ENG-1049,R. Cruz,182644.6,0.0,2025-07-29,,Unpaid
2026-03-18,Audit,Manila Logistics Corp.,ENG-1050,M. Yamada,79185.33,36829.1,2026-05-02,,Partial
2025-11-13,Payroll,BPO Global,ENG-1051,J. Santos,413460.03,413460.03,2025-12-28,,Paid
2025-06-28,Advisory,TechBridge Solutions,ENG-1052,K. Reyes,384688.35,384688.35,2025-07-13,2026-06-23,Paid
2025-11-26,Payroll,Sunrise Motors,ENG-1053,R. Cruz,300393.39,300393.39,2025-12-26,,Paid
2025-10-18,Accounting,BPO Global,ENG-1054,R. Cruz,328653.13,153676.27,2025-11-17,,Partial
2025-01-26,Tax,AgriHarvest Co.,ENG-1055,K. Reyes,0.0,0.0,2025-02-10,,Draft
2026-01-29,Tax,Manila Logistics Corp.,ENG-1056,J. Santos,316851.21,316851.21,2026-02-13,,Paid
2025-06-30,Tax,Manila Logistics Corp.,ENG-1057,J. Santos,490301.52,260975.21,2025-07-30,,Partial
2026-04-21,Tax,Yamato Trading,ENG-1058,K. Reyes,0.0,0.0,2026-06-05,,Draft
2026-03-13,Payroll,Yamato Trading,ENG-1059,J. Santos,505118.74,505118.74,2026-04-12,,Paid
2025-09-11,Audit,GreenField Realty,ENG-1060,J. Santos,510323.22,510323.22,2025-11-10,,Paid
2025-10-20,Accounting,TechBridge Solutions,ENG-1061,R. Cruz,171316.4,171316.4,2025-11-04,2026-06-24,Paid
2025-03-07,Tax,BPO Global,ENG-1062,J. Santos,272326.02,272326.02,2025-05-06,,Paid
2025-01-21,Advisory,Pacific Garments,ENG-1063,M. Yamada,519769.94,0.0,2025-03-22,,Unpaid
2026-03-06,Advisory,GreenField Realty,ENG-1064,J. Santos,341403.52,0.0,2026-04-05,,Unpaid
2025-01-30,Advisory,Nippon Steel PH,ENG-1065,K. Reyes,257760.03,180192.6,2025-03-01,,Partial
2025-01-28,Payroll,Nippon Steel PH,ENG-1066,J. Santos,547880.16,345986.25,2025-02-12,,Partial
2025-02-21,Tax,TechBridge Solutions,ENG-1067,M. Yamada,185687.54,185687.54,2025-04-22,2026-07-28,Paid
2025-09-16,Advisory,Pacific Garments,ENG-1068,R. Cruz,507550.11,507550.11,2025-10-01,,Paid
2025-02-11,Accounting,Metro Pharma,ENG-1069,R. Cruz,0.0,0.0,2025-03-13,,Draft
2025-05-10,Tax,GreenField Realty,ENG-1070,M. Yamada,305194.19,305194.19,2025-06-09,,Paid
2025-04-28,Tax,GreenField Realty,ENG-1071,K. Reyes,475563.46,475563.46,2025-06-12,2026-06-11,Paid
